"SingleR_pruned_label","cell_count"
"Astrocyte",40
"B_cell",81
"BM",203
"BM & Prog.",8
"Chondrocytes",201
"CMP",73
"DC",300
"Embryonic_stem_cells",65
"Endothelial_cells",36
"Epithelial_cells",1675
"Erythroblast",4
"Fibroblasts",1004
"Gametocytes",19
"GMP",111
"Hepatocytes",88
"HSC_-G-CSF",275
"HSC_CD34+",119
"iPS_cells",53
"Keratinocytes",283
"Macrophage",2052
"MEP",17
"Monocyte",212
"MSC",81
"Myelocyte",47
"Neuroepithelial_cell",42
"Neurons",102
"Neutrophils",134
"NK_cell",1515
"Osteoblasts",29
"Platelets",23
"Pre-B_cell_CD34-",498
"Pro-B_cell_CD34+",228
"Pro-Myelocyte",66
"Smooth_muscle_cells",712
"T_cells",1489
"Tissue_stem_cells",12
"Unassigned",418
