"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-1.98949440525446,0.203,0.901,0,"0","HLA-E"
0,-2.25020799281782,0.245,0.93,0,"0","HLA-B"
0,-1.88219554766349,0.273,0.946,0,"0","MT-ND5"
0,-1.94969657926013,0.232,0.876,0,"0","CYBA"
0,-2.45097022700319,0.297,0.931,0,"0","HLA-A"
0,-2.31147328572218,0.2,0.821,0,"0","TXNIP"
0,-1.73110690631812,0.346,0.959,0,"0","MT-ND2"
0,-2.34746733524832,0.074,0.68,0,"0","GSTP1"
0,-1.5085230028733,0.095,0.687,0,"0","MT-ND4L"
0,-2.09351450185166,0.116,0.707,0,"0","ANXA1"
0,-1.32891649770352,0.279,0.868,0,"0","BTG1"
0,-0.997395194560035,0.153,0.738,0,"0","SARAF"
0,-2.38006638998286,0.04,0.623,0,"0","MSN"
0,-1.5743126562974,0.101,0.681,0,"0","CD99"
0,-2.60842534381914,0.036,0.602,0,"0","FXYD5"
0,-1.62700900962472,0.19,0.755,0,"0","EMP3"
0,-1.58210809041032,0.321,0.885,0,"0","SH3BGRL3"
0,-1.55772606456962,0.083,0.646,0,"0","SF1"
0,-0.95424451186655,0.175,0.735,0,"0","AES"
0,-1.57570454446348,0.179,0.738,0,"0","KLF2"
0,-1.80958519920322,0.095,0.649,0,"0","ZFP36L2"
0,-1.49795347258503,0.073,0.625,0,"0","MTRNR2L12"
0,-1.89809406218736,0.055,0.604,0,"0","PSMB9"
0,-2.23076429302915,0.045,0.591,0,"0","IFITM2"
0,-1.56351361231606,0.099,0.644,0,"0","ID2"
0,-1.34726609069276,0.161,0.706,0,"0","JUNB"
0,-1.24654121637849,0.096,0.633,0,"0","JAK1"
0,-1.82364320083045,0.067,0.604,0,"0","CD44"
0,-0.81256404527512,0.131,0.66,0,"0","RAP1B"
0,-0.785279130928264,0.133,0.659,0,"0","PNISR"
0,-1.63846028042556,0.07,0.596,0,"0","FLNA"
0,-0.706680504107554,0.141,0.667,0,"0","EIF3F"
0,-1.73067274221425,0.425,0.95,0,"0","HLA-C"
0,-0.95277891547489,0.116,0.636,0,"0","TLN1"
0,-2.63169936428068,0.031,0.55,0,"0","TGFB1"
0,-1.86619392822867,0.071,0.588,0,"0","EFHD2"
0,-1.21307787176389,0.143,0.659,0,"0","KLF6"
0,-2.09938363487741,0.205,0.719,0,"0","S100A4"
0,-0.957333978811356,0.096,0.607,0,"0","XIST"
0,-2.11719285958494,0.076,0.577,0,"0","PTPRC"
0,-1.26784964799812,0.133,0.634,0,"0","H1FX"
0,-1.79294775623679,0.476,0.977,0,"0","MT-ND1"
0,-0.908884439957941,0.117,0.614,0,"0","N4BP2L2"
0,-1.77471227855466,0.48,0.976,0,"0","MT-ND3"
0,-2.43025330343997,0.052,0.547,0,"0","IFITM1"
0,-0.882835936656468,0.103,0.597,0,"0","UBXN1"
0,-1.44230880236893,0.073,0.566,0,"0","CCNL1"
0,-2.60980452868038,0.029,0.52,0,"0","HLA-F"
0,-2.41309755906651,0.034,0.524,0,"0","GYPC"
0,-0.86508373002168,0.112,0.602,0,"0","ANKRD12"
