"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000120525561281339,4.0366143663587,0.013,0.006,1,"0","MYBPH"
9.70614689222229e-07,3.79197190333852,0.017,0.007,0.0216359720374527,"0","FAM135B"
2.36169098213655e-14,3.79174846623811,0.022,0.006,5.26444536828058e-10,"0","GPC5"
1.49031383187246e-14,3.70564747587834,0.038,0.015,3.32205856262691e-10,"0","KCNMB2-AS1"
0.00387986067282568,3.59156464611255,0.011,0.006,1,"0","KRT23"
0.00787702359901125,3.54031329303935,0.013,0.008,1,"0","ADAMTS19"
1.49734850486307e-84,3.48342381012573,0.15,0.049,3.33773955219027e-80,"0","IGHG4"
2.68047806075113e-08,3.46930601107024,0.018,0.007,0.000597505364522034,"0","UBE2QL1"
0.00816396873312338,3.46220797974479,0.017,0.011,1,"0","HS6ST3"
0.00180636157004654,3.42639172856549,0.013,0.007,1,"0","PLEKHS1"
1.03105881033529e-25,6.41285117491452,0.014,0.001,2.2983331941184e-21,"1","ZMAT4"
8.05005697295719e-32,6.27001260013401,0.019,0.001,1.79443819984189e-27,"1","CCNJL"
1.38767465484046e-42,6.21773779259188,0.024,0.001,3.09326557310487e-38,"1","KIR2DL4"
1.12263321144566e-33,6.17409525090265,0.021,0.001,2.50246169163352e-29,"1","ADGRG3"
0,5.4485056422499,0.36,0.017,0,"1","KLRF1"
4.63682127493038e-75,5.37856172519334,0.047,0.003,1.03359383039473e-70,"1","CD160"
0.000203516609987425,5.19815826210842,0.033,0.021,1,"1","HBB"
6.37070474109408e-56,5.10950004854937,0.033,0.002,1.42009379383728e-51,"1","AC243829.4"
2.53415222677721e-17,5.01788673995949,0.012,0.001,5.64887872870907e-13,"1","LINGO2"
7.72677129802529e-267,4.93868810132651,0.177,0.014,1.72237459004282e-262,"1","TMIGD2"
1.93070858905597e-57,7.85164147220734,0.026,0,4.30374251586466e-53,"2","AL133264.2"
9.94998153287542e-37,7.44504207411108,0.016,0,2.21795038349326e-32,"2","AC138207.5"
1.91129008651041e-34,7.42412159766493,0.016,0,4.26045673184035e-30,"2","AC026369.3"
3.30849664738619e-49,7.37054573464764,0.023,0,7.37496987668856e-45,"2","FOLR3"
1.62699394493693e-30,6.87056342696266,0.014,0,3.62673220265892e-26,"2","SLC6A12"
